lot_id,wafer_id,die_id,test_result
b5102c93,1,1,PASS
b5102c93,1,2,PASS
b5102c93,1,3,FAIL
b5102c93,1,4,PASS
b5102c93,1,5,PASS
b5102c93,1,6,PASS
b5102c93,1,7,PASS
b5102c93,1,8,PASS
b5102c93,1,9,PASS
b5102c93,1,10,FAIL
b5102c93,1,11,PASS
b5102c93,1,12,PASS
b5102c93,1,13,PASS
b5102c93,1,14,PASS
b5102c93,1,15,PASS
b5102c93,1,16,PASS
b5102c93,1,17,PASS
b5102c93,1,18,PASS
b5102c93,1,19,PASS
b5102c93,1,20,PASS
b5102c93,1,21,PASS
b5102c93,1,22,PASS
b5102c93,1,23,PASS
b5102c93,1,24,PASS
b5102c93,1,25,PASS
b5102c93,1,26,PASS
b5102c93,1,27,PASS
b5102c93,1,28,FAIL
b5102c93,1,29,PASS
b5102c93,1,30,PASS
b5102c93,1,31,PASS
b5102c93,1,32,PASS
b5102c93,1,33,PASS
b5102c93,1,34,PASS
b5102c93,1,35,PASS
b5102c93,1,36,PASS
b5102c93,1,37,PASS
b5102c93,1,38,PASS
b5102c93,1,39,PASS
b5102c93,1,40,PASS
b5102c93,1,41,PASS
b5102c93,1,42,FAIL
b5102c93,1,43,FAIL
b5102c93,1,44,PASS
b5102c93,1,45,PASS
b5102c93,1,46,PASS
b5102c93,1,47,PASS
b5102c93,1,48,PASS
b5102c93,1,49,PASS
b5102c93,1,50,PASS
b5102c93,1,51,PASS
b5102c93,1,52,PASS
b5102c93,1,53,PASS
b5102c93,1,54,PASS
b5102c93,1,55,PASS
b5102c93,1,56,PASS
b5102c93,1,57,FAIL
b5102c93,1,58,PASS
b5102c93,1,59,PASS
b5102c93,1,60,PASS
b5102c93,1,61,PASS
b5102c93,1,62,PASS
b5102c93,1,63,PASS
b5102c93,1,64,PASS
b5102c93,1,65,PASS
b5102c93,1,66,PASS
b5102c93,1,67,PASS
b5102c93,1,68,PASS
b5102c93,1,69,PASS
b5102c93,1,70,PASS
b5102c93,1,71,PASS
b5102c93,1,72,PASS
b5102c93,1,73,PASS
b5102c93,1,74,PASS
b5102c93,1,75,PASS
b5102c93,1,76,PASS
b5102c93,1,77,PASS
b5102c93,1,78,PASS
b5102c93,1,79,PASS
b5102c93,1,80,PASS
b5102c93,1,81,PASS
b5102c93,1,82,PASS
b5102c93,1,83,PASS
b5102c93,1,84,PASS
b5102c93,1,85,PASS
b5102c93,1,86,PASS
b5102c93,1,87,PASS
b5102c93,1,88,PASS
b5102c93,1,89,FAIL
b5102c93,1,90,PASS
b5102c93,1,91,PASS
b5102c93,1,92,PASS
b5102c93,1,93,PASS
b5102c93,1,94,PASS
b5102c93,1,95,PASS
b5102c93,1,96,PASS
b5102c93,1,97,PASS
b5102c93,1,98,PASS
b5102c93,1,99,PASS
b5102c93,1,100,PASS
b5102c93,2,1,PASS
b5102c93,2,2,PASS
b5102c93,2,3,PASS
b5102c93,2,4,PASS
b5102c93,2,5,PASS
b5102c93,2,6,FAIL
b5102c93,2,7,PASS
b5102c93,2,8,PASS
b5102c93,2,9,PASS
b5102c93,2,10,PASS
b5102c93,2,11,PASS
b5102c93,2,12,PASS
b5102c93,2,13,PASS
b5102c93,2,14,PASS
b5102c93,2,15,PASS
b5102c93,2,16,PASS
b5102c93,2,17,PASS
b5102c93,2,18,PASS
b5102c93,2,19,PASS
b5102c93,2,20,PASS
b5102c93,2,21,PASS
b5102c93,2,22,PASS
b5102c93,2,23,PASS
b5102c93,2,24,PASS
b5102c93,2,25,PASS
b5102c93,2,26,PASS
b5102c93,2,27,PASS
b5102c93,2,28,PASS
b5102c93,2,29,PASS
b5102c93,2,30,PASS
b5102c93,2,31,PASS
b5102c93,2,32,PASS
b5102c93,2,33,PASS
b5102c93,2,34,PASS
b5102c93,2,35,PASS
b5102c93,2,36,PASS
b5102c93,2,37,PASS
b5102c93,2,38,PASS
b5102c93,2,39,PASS
b5102c93,2,40,PASS
b5102c93,2,41,PASS
b5102c93,2,42,PASS
b5102c93,2,43,PASS
b5102c93,2,44,PASS
b5102c93,2,45,PASS
b5102c93,2,46,PASS
b5102c93,2,47,PASS
b5102c93,2,48,PASS
b5102c93,2,49,PASS
b5102c93,2,50,PASS
b5102c93,2,51,PASS
b5102c93,2,52,PASS
b5102c93,2,53,PASS
b5102c93,2,54,PASS
b5102c93,2,55,PASS
b5102c93,2,56,PASS
b5102c93,2,57,PASS
b5102c93,2,58,PASS
b5102c93,2,59,PASS
b5102c93,2,60,FAIL
b5102c93,2,61,PASS
b5102c93,2,62,PASS
b5102c93,2,63,FAIL
b5102c93,2,64,PASS
b5102c93,2,65,FAIL
b5102c93,2,66,PASS
b5102c93,2,67,PASS
b5102c93,2,68,PASS
b5102c93,2,69,PASS
b5102c93,2,70,PASS
b5102c93,2,71,FAIL
b5102c93,2,72,PASS
b5102c93,2,73,PASS
b5102c93,2,74,PASS
b5102c93,2,75,PASS
b5102c93,2,76,PASS
b5102c93,2,77,PASS
b5102c93,2,78,PASS
b5102c93,2,79,PASS
b5102c93,2,80,PASS
b5102c93,2,81,PASS
b5102c93,2,82,PASS
b5102c93,2,83,PASS
b5102c93,2,84,PASS
b5102c93,2,85,PASS
b5102c93,2,86,PASS
b5102c93,2,87,PASS
b5102c93,2,88,FAIL
b5102c93,2,89,PASS
b5102c93,2,90,PASS
b5102c93,2,91,PASS
b5102c93,2,92,PASS
b5102c93,2,93,PASS
b5102c93,2,94,PASS
b5102c93,2,95,PASS
b5102c93,2,96,PASS
b5102c93,2,97,PASS
b5102c93,2,98,PASS
b5102c93,2,99,PASS
b5102c93,2,100,PASS
b5102c93,3,1,PASS
b5102c93,3,2,PASS
b5102c93,3,3,PASS
